Username,Tweet,Cleaned_Tweet,Date,Time,Mentions,Hashtags,Likes,Retweets,Comments,Replies,Views,Sentiment
"AK MISHRA -STRATEGIST-CONSULTANT & TV PANELIST
@ANALYSTAKMISHRA
·
Mar 25","Training - Career/Job Options In Politics as Political Consultant,Political Branding Strategist For Students & Pofessionals 
#JOBSEEK  #Job  #JoburgUpdates #jobvacancies #naukri #marketingnews #marketingjob #brandGuru #branding #mba ||",training careerjob options politics political consultantpolitical branding strategist students pofessionals jobseek job joburgupdates jobvacancies naukri marketingnews marketingjob brandguru branding mba,2025-03-25,06:50:59,,"naukri, Job, jobvacancies, JoburgUpdates, brandGuru, marketingnews, mba, branding, marketingjob, JOBSEEK",0,0,0,0,71,0.0
"ValueMulticaps
@ValueMulticaps
·
Mar 25","Worked well....

#StockMarket #stockmaketindia #stocks #Reliance #BSE #naukri #hindunilvr",worked well stockmarket stockmaketindia stocks reliance bse naukri hindunilvr,2025-03-25,05:00:50,,"naukri, Reliance, stockmaketindia, hindunilvr, BSE, StockMarket, stocks",0,0,0,0,2,0.0
"Hitesh Desai
@desaihiteshk06
·
Mar 25","#HINDUNILVR   #ICICIGI   #ICICIPRULI   #IREDA   #NAUKRI   #INFY   #ITC   #JUBLFOOD   #KOTAKBANK   #MARICO   #MARUTI   #MPHASIS   #MRF   #NTPC   #PAGEIND 
#Nifty #StockMarket",hindunilvr icicigi icicipruli ireda naukri infy itc jublfood kotakbank marico maruti mphasis mrf ntpc pageind nifty stockmarket,2025-03-25,04:49:41,,"ICICIGI, MARUTI, PAGEIND, IREDA, NTPC, KOTAKBANK, NAUKRI, INFY, MARICO, HINDUNILVR, MRF, StockMarket, JUBLFOOD, ITC, MPHASIS, Nifty, ICICIPRULI",0,0,0,0,1,0.0
"The Stocks Mania 
@thestocksmania
·
Mar 25","#NAUKRI 7500 CE APR

Entry - CMP 250
Target - 270/300/320
Sl - OWN R:R

DISCLAIMER - Levels are purely for Educational purposes only. We are not responsible for anyone's Profit or Loss

#PSB #CENTRALBK #IOC #ONGC #RBA #QIP #DEVYANI #INFY #HCLTECH #MOTHERSON #FPI",naukri 7500 apr entry cmp 250 target 270300320 disclaimer levels purely educational purposes responsible anyones profit loss psb centralbk ioc ongc rba qip devyani infy hcltech motherson fpi,2025-03-25,04:03:45,,"MOTHERSON, DEVYANI, HCLTECH, CENTRALBK, IOC, NAUKRI, INFY, FPI, RBA, PSB, ONGC, QIP",0,0,0,0,1,0.19285714285714287
"AI Sentiment Detection App for Bharat Stock Market
@Tick_Tracker
·
Mar 24","Hourly Bearish
#HINDZINC
#TORNTPOWER
#MARUTI
#LICI
#APOLLOHOSP
#BRITANNIA
#GMMPFAUDLR
#WSTCSTPAPR
#ONGC
#SHARDACROP
#HDFCLIFE
#MSUMI
#RAJESHEXPO
#MAHABANK
#SYNGENE
#UPL
#GESHIP
#PRESTIGE
#NAUKRI
#INDIGO

#StocksInFocus #HPORB #StocksToTrade #StocksToWatch #StocksMarket",hourly bearish hindzinc torntpower maruti lici apollohosp britannia gmmpfaudlr wstcstpapr ongc shardacrop hdfclife msumi rajeshexpo mahabank syngene upl geship prestige naukri indigo stocksinfocus hporb stockstotrade stockstowatch stocksmarket,2025-03-24,17:29:01,,"MARUTI, HPORB, ONGC, WSTCSTPAPR, SHARDACROP, StocksToTrade, StocksInFocus, HINDZINC, TORNTPOWER, StocksMarket, NAUKRI, RAJESHEXPO, GESHIP, SYNGENE, HDFCLIFE, MAHABANK, APOLLOHOSP, StocksToWatch, BRITANNIA, INDIGO, UPL, GMMPFAUDLR, MSUMI, LICI, PRESTIGE",0,0,0,0,732,0.0
"Sanjeev Sharma
@SanjeevSKalu
·
Mar 24","चलो दिल्ली, चलो दिल्ली....

सड़क से लेकर संसद तक ""UNMUTE लोकतंत्र"" की हुंकार भरने भारतीय युवा कांग्रेस का SANSAD GHERAO

नई दिल्ली
 25 मार्च 2025
 सुबह 10 बजे 

#ChaloDelhi #Naukri DoNashaNahi
#PatialaRural",unmute sansad gherao 2025 chalodelhi naukri donashanahi patialarural,2025-03-24,11:46:13,,"ChaloDelhi, Naukri, PatialaRural",0,0,0,0,1,0.0
"Mohammad Zaid
@ZaidZa12697
·
Mar 22",#Naukri,naukri,2025-03-22,14:48:02,,Naukri,0,0,0,0,20,0.0
"Md. zeeshan ali
@mdzeeshan123
·
Mar 22","never take paid http://service.it was my bad decision.I took the Naukri service .when i asked i didn't get the jo post which they promised you will get a hidden job in the market . They are saying share those jobs will check from our backend team. 
#naukri.com 

@Naukri",never take paid bad decisioni took naukri service asked didnt get post promised get hidden job market saying share jobs check backend team naukricom naukri,2025-03-22,08:40:49,Naukri,naukri,0,0,0,0,27,-0.43333333333333324
"Kun Zen
@KunJhana
·
Mar 22","Indian companies waste crores on senior managers who just chase ETAs. AI can automate this—track delivery, predict delays, done. Why pay 3x more for redundant roles when devs do the real work?l #micromanagement #naukri #itjobs #leadership #toxicworkplace",indian companies waste crores senior managers chase etas automate thistrack delivery predict delays done pay redundant roles devs real workl micromanagement naukri itjobs leadership toxicworkplace,2025-03-22,04:25:36,,"naukri, micromanagement, leadership, itjobs, toxicworkplace",0,0,0,0,35,0.075
"GIRI'S TECH-HUB
@HubGiri
·
Mar 22","Congratulations ... Ankur for a job offer!!..

#jobopportunity #javadeveloper #hiring #recruitment #job #placement #itjobs #hiringnow #naukri #opening #opening #itcourses #computerscience #softwaredeveloper #softwareengineer #javadeveloper #giristechhub #pune",congratulations ankur job offer jobopportunity javadeveloper hiring recruitment job placement itjobs hiringnow naukri opening opening itcourses computerscience softwaredeveloper softwareengineer javadeveloper giristechhub pune,2025-03-22,03:59:13,,"naukri, computerscience, hiring, job, javadeveloper, opening, itcourses, hiringnow, softwareengineer, recruitment, giristechhub, itjobs, pune, jobopportunity, placement, softwaredeveloper",0,0,0,0,60,0.0
