Username,Tweet,Date,Time,Mentions,Hashtags,Likes,Retweets,Comments,Replies,Views
"cҺ𝖾ϯ𝖆ท ϻī𝓈んг𝖆
@IamChetanMishra
·
3h","#Naukri 
#Infoedge 7140 Looking good",2025-03-27,09:11:14,,"#Naukri, #Infoedge",,,,0,21
"Vidyarthi Shiva
@vidyarthi_hr
·
6h","Master, if you have time , please post your view on #DLF and #Naukri",2025-03-27,06:26:56,,"#DLF, #Naukri",,,,0,21
"GIRI'S TECH-HUB
@HubGiri
·
8h","Congratulations ... Dhananjay for a job offer!!..

#jobopportunity #javadeveloper #hiring #recruitment #job #placement #itjobs #hiringnow #naukri #opening #opening #itcourses #computerscience #softwaredeveloper #softwareengineer #javadeveloper #giristechhub #pune",2025-03-27,04:29:08,,"#jobopportunity, #javadeveloper, #hiring, #recruitment, #job, #placement, #itjobs, #hiringnow, #naukri, #opening, #opening, #itcourses, #computerscience, #softwaredeveloper, #softwareengineer, #javadeveloper, #giristechhub, #pune",,,,0,19
"VTV Gujarati News and Beyond
@VtvGujarati
·
18h","નોકરી / યુવાનો થઈ જાઓ તૈયાર! ભારતીય રેલવેમાં 9970 જગ્યા પર બમ્પર ભરતી, જાણો વિગતો

#RailwayJobs #RRBALPRecruitment2025 #career #naukri",2025-03-26,18:09:26,,"#RailwayJobs, #RRBALPRecruitment2025, #career, #naukri",1,,,0,1
"CNBC-TV18
@CNBCTV18News
·
23h","#Naukri.com parent #InfoEdge receives ₹17.05-crore income tax demand


@jpullokaran",2025-03-26,13:35:50,@jpullokaran,"#Naukri, #InfoEdge",3,1,,0,1
"GIRI'S TECH-HUB
@HubGiri
·
Mar 26","Congratulations ... Dhanashri for a job offer!!..

#jobopportunity #javadeveloper #hiring #recruitment #job #placement #itjobs #hiringnow #naukri #opening #opening #itcourses #computerscience #softwaredeveloper #softwareengineer #javadeveloper #giristechhub #pune",2025-03-26,08:20:17,,"#jobopportunity, #javadeveloper, #hiring, #recruitment, #job, #placement, #itjobs, #hiringnow, #naukri, #opening, #opening, #itcourses, #computerscience, #softwaredeveloper, #softwareengineer, #javadeveloper, #giristechhub, #pune",,,,0,25
"aanam
@exploretuple
·
Mar 24","sharpening my skills in strings...

#CodingJourney ,#ChineseGP ,#amici24 ,#WhiteLotus ,#DebatePresidencial ,#Trump 

 #SkillBadge #Naukri Code 360",2025-03-24,11:12:02,,"#CodingJourney, #ChineseGP, #amici24, #WhiteLotus, #DebatePresidencial, #Trump, #SkillBadge, #Naukri",,,,0,409
"HADC INDICATOR
@beingakash26_
·
Mar 24","#NAUKRI BOOM BOOM

BOUGHT AT 6952.80
HIGH MADE SO FAR 7160
LOT SIZE 75

#HADC #INDICATOR

#nifty50 #banknifty #mcx #trading #OptionsTrading",2025-03-24,09:09:17,,"#NAUKRI, #HADC, #INDICATOR, #nifty50, #banknifty, #mcx, #trading, #OptionsTrading",,,,0,197
"Hitesh Desai
@desaihiteshk06
·
Mar 24","#HAL   #HINDUNILVR   #ICICIBANK   #ICICIGI   #ICICIPRULI   #IRCTC   #IRFC   #NAUKRI   #JSWENERGY   #JSWSTEEL   #KOTAKBANK   #LT   #LICI   #LTIM   #LODHA   #MOTHERSON   #NESTLEIND 
#Nifty #StockMarket",2025-03-24,04:53:36,,"#HAL, #HINDUNILVR, #ICICIBANK, #ICICIGI, #ICICIPRULI, #IRCTC, #IRFC, #NAUKRI, #JSWENERGY, #JSWSTEEL, #KOTAKBANK, #LT, #LICI, #LTIM, #LODHA, #MOTHERSON, #NESTLEIND, #Nifty, #StockMarket",1,1,1,0,1
"GIRI'S TECH-HUB
@HubGiri
·
Mar 24","Congratulations ... Kajal for a job offer!!..

#jobopportunity #javadeveloper #hiring #recruitment #job #placement #itjobs #hiringnow #naukri #opening #opening #itcourses #computerscience #softwaredeveloper #softwareengineer #javadeveloper #giristechhub #pune",2025-03-24,04:46:32,,"#jobopportunity, #javadeveloper, #hiring, #recruitment, #job, #placement, #itjobs, #hiringnow, #naukri, #opening, #opening, #itcourses, #computerscience, #softwaredeveloper, #softwareengineer, #javadeveloper, #giristechhub, #pune",,,,0,33
"Darvas 2.0
@Darvas_2
·
Mar 23","jab setup / Pattern kaam karta hai to Double hote der nhi lagti... 
#Naukri #Infoedge",2025-03-23,15:00:41,,"#Naukri, #Infoedge",,,,0,42
"Prince Singh
@Princesingh004
·
Mar 20",Congrats on earning your Specialist in Backtracking on Naukri Code 360!  Showcase your hard-earned skills and knowledge with your network by sharing this badge. Keep learning and level up your career! #SkillBadge #Naukri Code 360,2025-03-19,20:28:22,,"#SkillBadge, #Naukri",1,,,0,1
"AISHWARYA
@justyourgorl
·
Mar 19",Congrats on earning your Master in Basics of Java (Learn & Practise Coding) on Naukri Code 360!  Showcase your hard-earned skills and knowledge with your network by sharing this badge. Keep learning and level up your career! #SkillBadge #Naukri Code 360,2025-03-19,17:40:00,,"#SkillBadge, #Naukri",,,,0,14
"WorkWallis.ch
@WorkWallis
·
13s","Chauffeur / Chauffeuse Kat. C / Strassentransportfachmann/frau
 Bumann Saas Transporte AG

  Direkt über WhatsApp bewerben:
https://buff.ly/MXaXEO7

#workwallis #workvalais #job #jobs #wallis #valais",2025-03-27,13:00:25,,"#workwallis, #workvalais, #job, #jobs, #wallis, #valais",,,,0,0
"Safe Ireland National Social Change Agency CLG
@SAFEIreland
·
24s","@SAFEIreland
  is hiring an NGO Experienced Policy Research Analyst. Job specification and details on how to apply at: https://activelink.ie/vacancies/civil-liberties-human-rights/114712-safe-ireland-policy-research-analyst… Closing date is 5pm Friday 25th April 2025 #domesticviolence #jobsearch #jobs #JobOpportunity",2025-03-27,13:00:14,@SAFEIreland,"#domesticviolence, #jobsearch, #jobs, #JobOpportunity",,,,0,0
